input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word1	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word1	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word2	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word2	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word3	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word3	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word4	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word4	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word5	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word5	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word6	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word6	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word7	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word7	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word8	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word8	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word9	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word9	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
word10	A	1.0	0.5962826992967878	-0.01	0.0	1.0	0	0
word10	B	0.0	0.4037173007032121	-0.4000000000000001	1.0	0.0	1	0
input	candidate	obs.prob	pred.prob	H	beA	beB	Ident	UseListed
					0.20000000000000004	0.01	0.20000000000000004	0.01
